,word,x,y
122,state,-8.73083782196045,-19.855655670166016
123,suggest,34.04302978515625,0.6759268045425415
124,evolutionary,13.029242515563965,16.089595794677734
125,object,7.154446125030518,-22.5106143951416
126,brain,7.475351333618164,-24.112693786621094
127,combination,-15.08486557006836,31.72076988220215
128,stable,0.20182554423809052,-22.104228973388672
129,states,13.665780067443848,-20.943706512451172
130,known,33.688175201416016,-5.507250785827637
131,survival,-5.175561428070068,46.76154708862305
132,means,23.774158477783203,13.164530754089355
133,simple,-26.635536193847656,-9.36561107635498
134,examples,8.612853050231934,54.15758514404297
135,instance,9.775607109069824,54.50392532348633
136,human,-26.974252700805664,-11.067523956298828
137,response,29.2540225982666,-12.688592910766602
138,involves,26.690168380737305,12.245893478393555
139,fast,-2.5462722778320312,48.43534851074219
